trade_id	insider_name	symbol	txn_code	transaction_date	txn_price	shares	price+7day	PnL
1	KONDO CHRIS	AAPL	S	2024-05-15	190.395	-4999	190.9	-2524.49
2	LEVINSON ARTHUR D	AAPL	S	2024-05-30	191.58	-75000	194.48	-217500.0
3	Adams Katherine L.	AAPL	S	2024-08-05	207.05	-2400	217.53	-25152.0
6	KONDO CHRIS	AAPL	S	2024-08-09	216.5	-5178	226.05	-49449.9
7	KONDO CHRIS	AAPL	S	2024-08-15	225.0	-8706	224.53	4091.82
35	WILLIAMS JEFFREY E	AAPL	S	2024-10-02	227.22	-8056	229.54	-18689.92
37	Adams Katherine L.	AAPL	S	2024-10-02	227.24	-2995	229.54	-6888.5
42	COOK TIMOTHY D	AAPL	S	2024-10-02	226.57	-7193	229.54	-21363.21
43	Althoff Judson	MSFT	S	2024-05-23	425.678	-25000	414.67	275200.0
46	Numoto Takeshi	MSFT	S	2024-05-31	416.6	-322	423.85	-2334.5
49	Numoto Takeshi	MSFT	S	2024-06-03	415.53	-244	427.87	-3010.96
71	HENNESSY JOHN L	GOOGL	S	2024-05-13	169.4974	-473	176.92	-3510.89
77	Pichai Sundar	GOOGL	S	2024-05-15	173.5725	-12496	176.38	-35082.52
86	O'Toole Amie Thuener	GOOGL	S	2024-06-03	173.86	-682	175.01	-784.3
87	Pichai Sundar	GOOGL	S	2024-06-05	177.5242	-3076	177.79	-817.6
90	HENNESSY JOHN L	GOOGL	S	2024-06-12	179.19	-11	176.3	31.79
133	Pichai Sundar	GOOGL	S	2024-06-20	177.7533	-7404	185.41	-56690.21
137	Zuckerberg Mark	META	S	2024-08-12	517.1535	-372	529.28	-4511.06
151	Zuckerberg Mark	META	S	2024-08-13	530.4561	-410	526.73	1527.7
172	Zuckerberg Mark	META	S	2024-08-14	532.91	-84	535.16	-189.0
213	Bosworth Andrew	META	S	2024-08-15	526.76	-5057	531.93	-26144.69
229	LI SUSAN J	META	S	2024-08-15	526.76	-4203	531.93	-21729.51
248	Clegg Nicholas	META	S	2024-08-15	526.76	-1133	531.93	-5857.61
289	Briggs Teresa	DOCU	S	2024-05-31	54.92	-499	52.05	1432.13
290	Thygesen Allan C.	DOCU	S	2024-06-03	54.89	-7576	50.99	29546.4
293	Shaughnessy James P	DOCU	S	2024-06-11	50.98	-1800	50.97	18.0
294	Shaughnessy James P	DOCU	S	2024-06-12	52.61	-1800	52.2	738.0
302	Wagner Dana	TWLO	S	2024-05-15	62.5815	-212	60.17	511.24
304	Viggiano Aidan	TWLO	S	2024-05-15	62.5595	-172	60.17	410.99
306	Wagner Dana	TWLO	S	2024-05-20	61.69	-796	58.97	2165.12
307	Viggiano Aidan	TWLO	S	2024-05-20	61.69	-956	58.97	2600.32
322	Shipchandler Khozema	TWLO	S	2024-06-07	57.0	-24657	54.24	68053.32
323	Viggiano Aidan	TWLO	S	2024-06-10	57.6835	-6666	53.53	27687.23
326	Wagner Dana	TWLO	S	2024-07-01	56.2763	-4237	57.4	-4761.12
327	Viggiano Aidan	TWLO	S	2024-07-01	56.3316	-6797	57.4	-7261.91
328	Shipchandler Khozema	TWLO	S	2024-07-01	56.2877	-11241	57.4	-12503.36
329	Wagner Dana	TWLO	S	2024-07-05	56.26	-820	57.87	-1320.2
330	Viggiano Aidan	TWLO	S	2024-07-05	56.26	-6586	57.87	-10603.46
331	Shipchandler Khozema	TWLO	S	2024-07-05	56.26	-10877	57.87	-17511.97
335	Steckelberg Kelly	ZM	S	2024-05-15	63.8798	-899	64.38	-449.68
341	Steckelberg Kelly	ZM	S	2024-05-29	61.5802	-5007	62.09	-2552.57
343	Yuan Eric S.	ZM	S	2024-06-03	61.798	-2420	62.96	-2812.04
345	Bawa Aparna	ZM	S	2024-06-04	61.78	-874	62.85	-935.18
347	Yuan Eric S.	ZM	S	2024-06-04	61.6725	-2420	62.85	-2849.55
352	Crehan Shane	ZM	S	2024-06-09	62.4204	-1538	56.95	8413.48
356	Sankarlingam Velchamy	ZM	S	2024-06-09	62.4204	-3589	56.95	19633.27
358	Crehan Shane	ZM	S	2024-06-11	62.99	-1475	56.21	10000.5
359	Sankarlingam Velchamy	ZM	S	2024-06-11	62.99	-1551	56.21	10515.78
374	Farquhar Scott	TEAM	S	2024-11-04	218.6558	-3616	245.85	-98334.23
375	Cannon-Brookes Michael	TEAM	S	2024-11-05	216.8622	-1250	245.28	-35522.25
382	Farquhar Scott	TEAM	S	2024-11-05	217.7158	-1357	245.28	-37404.62
389	Cannon-Brookes Michael	TEAM	S	2024-11-06	224.296	-2470	252.78	-70355.48
395	Farquhar Scott	TEAM	S	2024-11-06	225.2087	-1868	252.78	-51503.19
401	LIU GENE	TEAM	S	2024-11-07	230.0	-445	249.99	-8895.55
402	Farquhar Scott	TEAM	S	2024-11-07	235.1588	-2203	249.99	-32673.13
411	Cannon-Brookes Michael	TEAM	S	2024-11-07	235.1587	-2204	249.99	-32688.19
420	Farquhar Scott	TEAM	S	2024-11-08	232.9567	-150	240.04	-1062.49
426	Cannon-Brookes Michael	TEAM	S	2024-11-08	233.905	-100	240.04	-613.5
432	LIU GENE	TEAM	S	2024-11-11	240.0	-785	238.69	1028.35
433	Farquhar Scott	TEAM	S	2024-11-11	245.473	-2666	238.69	18083.48
442	Cannon-Brookes Michael	TEAM	S	2024-11-11	246.97	-100	238.69	828.0
451	Farquhar Scott	TEAM	S	2024-11-12	245.3852	-5189	247.73	-12167.17
455	Cannon-Brookes Michael	TEAM	S	2024-11-12	245.3851	-5188	247.73	-12165.34
459	Farquhar Scott	TEAM	S	2024-11-13	253.3252	-1551	245.45	12214.44
468	Cannon-Brookes Michael	TEAM	S	2024-11-13	252.4681	-3582	245.45	25138.83
477	LIU GENE	TEAM	S	2024-11-13	250.0	-654	245.45	2975.7
478	BHARADWAJ ANUTTHARA	TEAM	S	2024-11-14	250.4888	-2151	253.97	-7488.06
486	BINZ JOSEPH LEO	TEAM	S	2024-11-14	252.458	-266	253.97	-402.19
494	LIU GENE	TEAM	S	2024-11-14	252.458	-61	253.97	-92.23
502	RAJAN RAJEEV BASHYAM	TEAM	S	2024-11-14	250.4888	-983	253.97	-3422.02
510	Farquhar Scott	TEAM	S	2024-11-14	253.7843	-768	253.97	-142.62
517	Cannon-Brookes Michael	TEAM	S	2024-11-14	249.9544	-1493	253.97	-5995.29
524	Cannon-Brookes Michael	TEAM	S	2024-11-15	241.033	-1241	260.58	-24257.83
525	Planishek Heather A.	PLTR	S	2024-05-20	21.4268	-10907	21.05	4109.76
526	Taylor Ryan D.	PLTR	S	2024-05-20	21.4268	-43927	21.05	16551.69
527	Glazer David A.	PLTR	S	2024-05-20	21.4268	-37921	21.05	14288.63
531	Sankar Shyam	PLTR	S	2024-05-20	21.4268	-82619	21.05	31130.84
536	Cohen Stephen Andrew	PLTR	S	2024-05-20	21.4268	-170584	21.05	64276.05
544	Karp Alexander C.	PLTR	S	2024-05-20	21.4268	-197495	21.05	74416.12
548	Planishek Heather A.	PLTR	S	2024-05-21	21.2405	-9005	21.05	1715.45
549	Taylor Ryan D.	PLTR	S	2024-05-21	21.2405	-36267	21.05	6908.86
550	Glazer David A.	PLTR	S	2024-05-21	21.2405	-31308	21.05	5964.17
552	Sankar Shyam	PLTR	S	2024-05-21	21.2405	-68212	21.05	12994.39
555	Cohen Stephen Andrew	PLTR	S	2024-05-21	21.2405	-140838	21.05	26829.64
558	Karp Alexander C.	PLTR	S	2024-05-21	21.2405	-163056	21.05	31062.17
560	Planishek Heather A.	PLTR	S	2024-05-22	21.2952	-2398	20.94	851.77
561	Taylor Ryan D.	PLTR	S	2024-05-22	21.2952	-9657	20.94	3430.17
562	Glazer David A.	PLTR	S	2024-05-22	21.2952	-8336	20.94	2960.95
567	Garfield Mark S.	ADBE	S	2024-06-03	448.835	-1	459.94	-11.11
578	Rao Dana	ADBE	S	2024-06-17	525.51	-6765	524.17	9065.1
579	Garfield Mark S.	ADBE	S	2024-06-17	525.51	-264	524.17	353.76
580	NARAYEN SHANTANU	ADBE	S	2024-06-27	545.8218	-2612	578.34	-84937.54
598	Belsky Scott	ADBE	S	2024-07-15	560.23	-1530	554.82	8277.3
669	O'BRIEN DEIRDRE	AAPL	S	2024-10-02	227.13	-22328	229.54	-53810.48
671	Maestri Luca	AAPL	S	2024-10-04	226.52	-59305	227.55	-61084.15
679	LEVINSON ARTHUR D	AAPL	S	2024-11-15	224.68	-75000	229.87	-389250.0
680	KONDO CHRIS	AAPL	S	2024-11-18	228.87	-4130	232.87	-16520.0
681	LEVINSON ARTHUR D	AAPL	S	2024-11-18	228.66	-75000	232.87	-315750.0
682	LEVINSON ARTHUR D	AAPL	S	2024-11-19	229.28	-50000	235.06	-289000.0
